# along_strike_index, down_dip_index, cen_x, cen_y, cen_z
33.000000 3.000000 1809616.295739 5380960.486242 -12458.726631
33.000000 4.000000 1802181.523293 5387401.155405 -14137.683906
33.000000 5.000000 1794706.648167 5393876.565118 -15599.834709
33.000000 6.000000 1787220.702684 5400361.564972 -16943.795933
33.000000 7.000000 1779733.075331 5406848.021812 -18293.264263
33.000000 8.000000 1772251.575097 5413329.170791 -19708.806483
33.000000 9.000000 1764790.284481 5419792.812379 -21303.365121
33.000000 10.000000 1757361.969886 5426227.887169 -23139.311897
33.000000 11.000000 1749979.766766 5432623.016049 -25265.776818
33.000000 12.000000 1742673.213707 5438952.610037 -27801.558427
33.000000 13.000000 1735451.474666 5445208.730486 -30743.436526
33.000000 14.000000 1728301.739007 5451402.475125 -33976.299722
33.000000 15.000000 1721260.964039 5457501.828205 -37591.850502
